CID,C4_3_N3_2_2*(1-FC_16_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0),FC_13_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0*(1-n),C4_3_N3_2_1*(1-FC_40_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0),LeafAC_C4_C4_2*(1-FC_514_C4_0_Cl1_1_Cl1_1_C4_1_H1_2_Cl1_2_Cl1_2_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0),C4_3_C4_3_1*(1-FC_9_C4_0_Cl1_1_/_1_/_0_0),dg_in_2*(1-C4_2_C4_2_2),na_ex_N3*C4_2_C4_3_2,na_ex_S6*(1-FC_127_C4_0_H1_1_H1_1_S6_1_O2_2_O2_2_O2_2_/_1_1_1_1_2_2_/_0_0_0_0_-1_0_0),FC_16_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0*(1-na_ex_N3),FC_30_C4_0_H1_1_H1_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0*(1-FC_329_C4_0_H1_1_H1_1_C4_1_Cl1_2_C4_2_H1_3_H1_3_/_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0),FC_5_O2_0_/_/_0*(1-na_in_O2),N3_2_N3_2_2*(1-FC_237_O2_0_C4_1_H1_2_O2_2_/_1_1_2_/_0_0_0_0),C4_2_C4_3_2*(1-C4_3_S2_2_1),LeafAC_N3_C4_1*(1-FC_495_C4_0_O2_1_N3_1_H1_2_H1_2_/_2_1_1_1_/_0_0_0_0_0),N3_2_S6_4_1*(1-LeafAC_Cl1_N2_1),FC_3_C4_0_/_/_0*(1-C4_2_C4_3_1),C4_2_C4_3_2*(1-C4_2_C4_3_2),dg_in_3*(1-C4_2_N3_2_2),na_ex_C4*(1-FC_6_N3_0_/_/_0),C4_2_O2_2_1*(1-LeafAC_O2_N3_2),C4_2_C4_2_2*C4_2_C4_2_2,C4_2_C4_4_1*(1-FC_481_C4_0_H1_1_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_2_1_1_1_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0),FC_12_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0*(1-C4_2_C4_3_2),LeafAC_C4_C4_1*(1-FC_5_O2_0_/_/_0),FC_3_C4_0_/_/_0*(1-FC_3_C4_0_/_/_0),C4_2_N4_4_1*(1-FC_406_O2_0_S6_1_O2_2_O2_2_N3_2_H1_3_H1_3_/_1_2_2_1_1_1_/_0_0_0_0_0_0_0),FC_21_C4_0_H1_1_H1_1_C4_1_O2_2_O2_2_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0*(1-N2_2_S6_4_1),C4_2_C4_2_2*LeafAC_O2_N4_2,FC_15_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0*(1-FC_30_C4_0_H1_1_H1_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0),C4_3_C4_4_1*C4_3_C4_4_1,na_ex_O2*(1-dg_in_3),FC_9_C4_0_Cl1_1_/_1_/_0_0*(1-FC_30_C4_0_H1_1_H1_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0),LeafAC_O2_C4_2*(1-C4_2_C4_4_1),FC_29_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0*(1-N3_3_O2_2_1),C4_3_S2_2_1*(1-C4_2_C4_2_2),C4_2_C4_2_2*FC_16_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0,FC_18_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0*(1-FC_489_N3_0_C4_1_S2_2_S2_2_/_1_1_2_/_0_0_-1_0),C4_2_C4_2_2*(1-rank),FC_10_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0*(1-FC_49_C4_0_H1_1_O2_1_H1_2_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0),FC_2_C4_0_H1_1_H1_1_/_1_1_/_0_0_0*(1-FC_156_N3_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_1_0_0_0_0_0_0_0),na_ex_N3*(1-bd_in_2),na_in_N3*(1-C4_2_C4_2_2),ms*(1-FC_6_N3_0_/_/_0),dg_4*(1-FC_208_O2_0_N3_1_O2_2_/_1_2_/_0_0_0),C4_2_C4_2_2*(1-C4_2_N3_3_1),C4_2_N3_2_2*(1-C4_4_S6_4_1),FC_16_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0*(1-na_ex_O1),na_in_N4*(1-FC_40_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0),na_in_O2*(1-na_ex_Cl1),FC_20_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0*(1-FC_477_C4_0_C4_1_H1_2_H1_2_Cl1_2_C4_1_H1_2_H1_2_Cl1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0)
0,0.1428569999999999,0.0,0.0357143,0.0,0.03125,0.0895522,0.02500005,0.166667,0.0,0.0,0.0,0.0,0.10000005,0.0,0.0,0.16911803578429999,0.1275,0.107143,0.0546875,0.0,0.0,0.0,0.0,0.0588235,0.14532898615899997,0.0,0.0,0.0,0.0,0.0,0.05102043826529991,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.14444478888900003,0.0555556,0.22631962500000002,0.0,0.0,0.0,0.0,0.0,0.0625,0.0
1,0.0,0.0,0.0714286,0.0,0.0625,0.100746,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05637251887255,0.0475,0.0714286,0.0625,0.0,0.0625,0.0,0.0,0.0588235,0.05536329584775,0.0,0.0,0.0,0.0,0.0,0.05306126265305991,0.0,0.1428569999999999,0.0,0.0,0.0,0.0,0.21428575000000002,0.0,0.0,0.0,0.08333324999999993,0.14975,0.0,0.25,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0714286,0.0,0.0625,0.117537,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05637251887255,0.0475,0.0357143,0.25,0.0,0.015625,0.0,0.2375,0.294118,0.05536329584775,0.0,0.0,0.0,0.0,0.0,0.027550992448980002,0.0,0.0714286,0.333333,0.0,0.0,0.0,0.116071425,0.0,0.0,0.0,0.09722212499999991,0.0666973,0.0,0.1145833375,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0895522,0.0,0.0,0.0,0.0,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.2222219999999999,0.0,0.514705625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0526316,0.0,0.0,0.0492351,0.2,0.0,0.0,0.0,0.0,0.25,0.0
6,0.0,0.0,0.0,0.0,0.0,0.06716415,0.0,0.166667,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0475,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0571428999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.23214285,0.0,0.0,0.0,0.0,0.343146,0.0,0.25,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0625,0.0149253999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428569999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.120013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0149253999999999,0.0,0.0,0.0,0.0,0.05859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0555556,0.0,0.0,0.0,0.220588125,0.0,0.0,0.0,0.0,0.0,0.0,0.0285714,0.0,0.0714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056967,0.0,0.0,0.0,0.0,0.0,0.0625,0.0
13,0.0,0.0,0.0,0.666667,0.0,0.0597015,0.0,0.0,0.0,0.0,0.109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.1111109999999999,0.0,0.0,0.0,0.102941125,0.0,0.0,0.0,0.0,0.0,0.0,0.0571428999999999,0.0,0.1428569999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0526316,0.0,0.0,0.1274809999999999,0.0,0.0,0.0,0.0,0.0,0.125,0.0
14,0.0,0.0,0.0,0.0,0.0,0.104478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107143,0.01953125,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1842109999999999,0.0,0.166667,0.082796875,0.1,0.0,0.0,0.0,0.333333,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0625,0.0783585,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.1617650892157,0.1275,0.107143,0.03125,0.0,0.0625,0.0,0.0,0.0,0.14532898615899997,0.0,0.0,0.0,0.0,0.0,0.0255101744898,0.0,0.0714286,0.0,0.0,0.0,0.0,0.21428575000000002,0.0,0.0,0.0,0.0,0.172193,0.0,0.25,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.134328,0.0,0.0,0.0,0.0,0.05859375,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.09375,0.1111109999999999,0.0,0.0,0.25,0.05514703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.210526,0.166667,0.0,0.0383318,0.0,0.0,0.0,0.0,0.0,0.0625,0.0
17,0.0,0.0,0.0,0.0,0.03125,0.078358175,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05637251887255,0.0475,0.026785724999999996,0.109375,0.0,0.015625,0.0,0.0,0.117647,0.05536329584775,0.0,0.0,0.0,0.0,0.0,0.027550992448980002,0.0,0.0714286,0.0,0.0,0.0,0.0,0.116071425,0.0,0.0,0.0,0.09722212499999991,0.092273125,0.0,0.125,0.25,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.03125,0.055970175,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05637251887255,0.0475,0.0357143,0.03125,0.0,0.0625,0.0,0.0,0.0,0.05536329584775,0.0,0.0,0.0,0.0,0.0,0.08265307377551,0.0,0.0714286,0.0,0.0,0.0,0.0,0.23214285,0.0,0.0,0.0,0.0,0.170193,0.0,0.25,0.0,0.0,0.0,0.0,0.0
